id,Job.Title,Est_Salary,Max_Salary,Min_Salary,City,State,Easy.Apply,Revenue_USD,Rating,Size,Industry,Sector,Type.of.ownership,Years_Founded,Company.Name,lat,lon,Count
1298,Health Analytics Data Scientist,122.5,151,94,Phoenix,AZ,NA,Unknown,3.1,1001 to 5000 employees,Consulting,Business Services,Company - Private,10,"Berkeley Research Group, LLC",33.4484,-112.074142,1
1299,Data Scientist,122.5,151,94,Phoenix,AZ,NA,Unknown,4.6,1 to 50 employees,,,Company - Public,NA,Headfarmer,33.4484,-112.074142,1
1300,Data Scientist,122.5,151,94,Phoenix,AZ,NA,1-2 billion,4.9,1 to 50 employees,Advertising & Marketing,Business Services,Company - Private,4,Freestar,33.4484,-112.074142,1
1301,SQL Developer/Data Analyst,122.5,151,94,Phoenix,AZ,NA,100-500 million,3.7,501 to 1000 employees,Construction,"Construction, Repair & Maintenance",Company - Private,45,Corbins Electric,33.4484,-112.074142,1
1302,Federal - Data Scientist,122.5,151,94,Phoenix,AZ,NA,10-25 million,4.2,1 to 50 employees,Computer Hardware & Software,Information Technology,Company - Private,18,Solekai Systems Corp,33.4484,-112.074142,1
1303,Data Scientist,122.5,151,94,Scottsdale,AZ,NA,0.5-1 billion,3.3,501 to 1000 employees,Consulting,Business Services,Company - Private,18,Vaco Technology,33.4942,-111.926018,1
1304,Data Scientist,122.5,151,94,Phoenix,AZ,NA,,NA,,,,,NA,GradTests (gradtests.com),33.4484,-112.074142,1
1305,Data Scientist - Nationwide Opportunities,122.5,151,94,Phoenix,AZ,NA,10+ billion,3.9,10000+ employees,Internet,Information Technology,Company - Public,26,Amazon,33.4484,-112.074142,1
1306,Data Scientist,122.5,151,94,Tempe,AZ,NA,10+ billion,3.9,10000+ employees,Internet,Information Technology,Company - Public,26,Amazon,33.4255,-111.940009,1
1307,Data Scientist,122.5,151,94,Phoenix,AZ,NA,1-5 million,4.4,1 to 50 employees,IT Services,Information Technology,Company - Private,NA,Softcom Systems,33.4484,-112.074142,1
1308,Data Scientist,122.5,151,94,Scottsdale,AZ,NA,1-2 billion,4,201 to 500 employees,Staffing & Outsourcing,Business Services,Company - Private,20,GTN Technical Staffing,33.4942,-111.926018,1
1309,Data Scientist / Statistician,122.5,151,94,Phoenix,AZ,NA,1-2 billion,2.8,51 to 200 employees,IT Services,Information Technology,Company - Private,32,Scientific Technologies Corporation,33.4484,-112.074142,1
1310,Associate Data Scientist,122.5,151,94,Phoenix,AZ,NA,Unknown,3.7,1001 to 5000 employees,Computer Hardware & Software,Information Technology,Company - Private,29,Impetus Technologies,33.4484,-112.074142,1
1311,Statistician (Data Scientist) *12 month Roster* *Direct Hire*,122.5,151,94,Phoenix,AZ,NA,Unknown,3.5,10000+ employees,Federal Agencies,Government,Government,158,Internal Revenue Service,33.4484,-112.074142,1
1312,Data & Analytics Consultant,122.5,151,94,Phoenix,AZ,NA,50-100 million,4.6,201 to 500 employees,Consulting,Business Services,Company - Private,28,SEI,33.4484,-112.074142,1
1313,Data Scientist,122.5,151,94,Phoenix,AZ,NA,,NA,,,,,NA,Youth Power Technosoft LLC.,33.4484,-112.074142,1
1314,Data Scientist,122.5,151,94,Scottsdale,AZ,NA,Unknown,4.3,51 to 200 employees,Lending,Finance,Company - Private,5,Soaren Management,33.4942,-111.926018,1
1315,Machine Learning Engineer,122.5,151,94,Phoenix,AZ,NA,50-100 million,3.8,501 to 1000 employees,IT Services,Information Technology,Company - Private,18,IntraEdge,33.4484,-112.074142,1
1316,Data Scientist,122.5,151,94,Tempe,AZ,NA,1-2 billion,3.3,501 to 1000 employees,IT Services,Information Technology,Company - Private,21,fulcrum worldwide,33.4255,-111.940009,1
1317,Data Engineer,122.5,151,94,Phoenix,AZ,NA,Unknown,4.8,1001 to 5000 employees,IT Services,Information Technology,Company - Public,9,Zoom,33.4484,-112.074142,1
1318,Sr. Data Scientist II,128,159,97,Tempe,AZ,NA,25-50 million,3.2,1001 to 5000 employees,Internet,Information Technology,Company - Private,21,Shutterfly,33.4255,-111.940009,1
1319,Director Data Scientist - Data Science Hub,128,159,97,Phoenix,AZ,NA,10+ billion,3.6,10000+ employees,Insurance Carriers,Insurance,Company - Private,98,USAA,33.4484,-112.074142,1
1320,"Data Analyst, Marketing",128,159,97,Scottsdale,AZ,NA,100-500 million,4.6,201 to 500 employees,Colleges & Universities,Education,Company - Private,1,National Education Partners,33.4942,-111.926018,1
1321,Quantum Data Scientist (Industrial-Process sector),128,159,97,Phoenix,AZ,NA,10+ billion,3.7,10000+ employees,IT Services,Information Technology,Company - Public,109,IBM,33.4484,-112.074142,1
1322,Data & Reporting Analyst,128,159,97,Tempe,AZ,NA,10+ billion,3.9,10000+ employees,Internet,Information Technology,Company - Public,26,Amazon,33.4255,-111.940009,1
1323,Data Operations Engineer,128,159,97,Phoenix,AZ,NA,Unknown,4.8,1001 to 5000 employees,IT Services,Information Technology,Company - Public,9,Zoom,33.4484,-112.074142,1
1324,Applied Scientist,128,159,97,Tempe,AZ,NA,10+ billion,3.9,10000+ employees,Internet,Information Technology,Company - Public,26,Amazon,33.4255,-111.940009,1
1325,Data Scientist,128,159,97,Phoenix,AZ,NA,50-100 million,3.8,501 to 1000 employees,IT Services,Information Technology,Company - Private,18,IntraEdge,33.4484,-112.074142,1
1326,Data Analyst,128,159,97,Phoenix,AZ,NA,25-50 million,4.1,5001 to 10000 employees,Telecommunications Services,Telecommunications,Company - Public,34,Viasat,33.4484,-112.074142,1
1327,Jr. Data Scientist/Engineer,128,159,97,Phoenix,AZ,NA,,NA,,,,,NA,CalTech IT Solution Private Limited,33.4484,-112.074142,1
1328,Business Data Analyst,128,159,97,Scottsdale,AZ,NA,100-500 million,4.6,201 to 500 employees,Colleges & Universities,Education,Company - Private,1,National Education Partners,33.4942,-111.926018,1
1329,Data Scientist,128,159,97,Phoenix,AZ,NA,,NA,,,,,NA,Youth Power Technosoft LLC,33.4484,-112.074142,1
1330,Data Analyst,128,159,97,Phoenix,AZ,NA,10-25 million,4.9,51 to 200 employees,Staffing & Outsourcing,Business Services,Company - Private,15,"TekCom Resources, Inc.",33.4484,-112.074142,1
1331,Data Analyst,128,159,97,Phoenix,AZ,NA,0.5-1 billion,3.5,1001 to 5000 employees,Telecommunications Manufacturing,Telecommunications,Company - Public,69,NAGRA (Kudelski Group),33.4484,-112.074142,1
1332,Data analyst,128,159,97,Phoenix,AZ,NA,25-50 million,3.5,10000+ employees,IT Services,Information Technology,Subsidiary or Business Segment,40,Atos Syntel Inc.,33.4484,-112.074142,1
1333,Data Engineer,128,159,97,Tempe,AZ,NA,10+ billion,3.1,10000+ employees,Banks & Credit Unions,Finance,Company - Public,156,MUFG,33.4255,-111.940009,1
1334,Data Analyst,128,159,97,Phoenix,AZ,NA,0.5-1 billion,3.2,5001 to 10000 employees,Staffing & Outsourcing,Business Services,Subsidiary or Business Segment,26,Modis,33.4484,-112.074142,1
1335,Senior Data Scientist,128,159,97,Phoenix,AZ,NA,10+ billion,3.6,10000+ employees,Insurance Carriers,Insurance,Company - Public,59,Humana,33.4484,-112.074142,1
1336,ML/Data Scientist,128,159,97,Phoenix,AZ,NA,1-2 billion,4.1,51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,21,Sysmind LLC,33.4484,-112.074142,1
1337,Network Security System/Data Analyst,128,159,97,Tempe,AZ,NA,10+ billion,3.1,10000+ employees,Banks & Credit Unions,Finance,Company - Public,156,MUFG,33.4255,-111.940009,1
1338,Fall 2020 Supply Chain Data Analyst Intern,128,159,97,Phoenix,AZ,NA,5-10 billion,3.6,10000+ employees,Electrical & Electronic Manufacturing,Manufacturing,Company - Public,21,ON Semiconductor,33.4484,-112.074142,1
1339,Bioinformatics Scientist,128,159,97,Phoenix,AZ,NA,100-500 million,4,1001 to 5000 employees,Health Care Services & Hospitals,Health Care,Company - Public,25,Exact Sciences Corporation,33.4484,-112.074142,1
1340,Economic Development Data Scientist I,128,159,97,Gilbert,AZ,NA,Unknown,NA,1001 to 5000 employees,Construction,"Construction, Repair & Maintenance",Company - Public,NA,Town of Gilbert,33.3528,-111.789037,1
1341,Internship - Analytics and Data Science (Healthcare),128,159,97,Phoenix,AZ,NA,Unknown,3.1,1001 to 5000 employees,Insurance Carriers,Insurance,Nonprofit Organization,81,Blue Cross Blue Shield of Arizona,33.4484,-112.074142,1
1342,Sr Data Scientist,128,159,97,Phoenix,AZ,NA,0.5-1 billion,3.4,1001 to 5000 employees,Lending,Finance,Company - Public,12,PennyMac,33.4484,-112.074142,1
1343,Senior Director of Data Science,128,159,97,Scottsdale,AZ,NA,2-5 billion,4,10000+ employees,Automotive Parts & Accessories Stores,Retail,Company - Private,60,Discount Tire,33.4942,-111.926018,1
1344,Principal Data Scientist- Public Sector,128,159,97,Phoenix,AZ,NA,10+ billion,3.7,10000+ employees,IT Services,Information Technology,Company - Public,109,IBM,33.4484,-112.074142,1
1345,Lead Data Scientist,128,159,97,Scottsdale,AZ,NA,Unknown,3.2,10000+ employees,Investment Banking & Asset Management,Finance,Company - Private,45,Vanguard,33.4942,-111.926018,1
1346,Analytic Consultant 5 - Consumer Collections & Servicing Analytics,128,159,97,Phoenix,AZ,NA,10+ billion,3.6,10000+ employees,Banks & Credit Unions,Finance,Company - Public,168,Wells Fargo,33.4484,-112.074142,1
1347,Lead Data Scientist,128,159,97,Phoenix,AZ,NA,10+ billion,3.6,10000+ employees,Insurance Carriers,Insurance,Company - Public,59,Humana,33.4484,-112.074142,1
1348,DATA ANALYST,128,159,97,Phoenix,AZ,NA,100-500 million,3.9,501 to 1000 employees,IT Services,Information Technology,Company - Private,18,Diverse Lynx,33.4484,-112.074142,1
1349,Ergonomics Scientist,128,159,97,Phoenix,AZ,NA,100-500 million,3.5,1001 to 5000 employees,Consulting,Business Services,Company - Public,53,Exponent,33.4484,-112.074142,1
1350,Data Analyst,75,104,46,Phoenix,AZ,NA,Unknown,3.6,501 to 1000 employees,Staffing & Outsourcing,Business Services,Company - Public,28,Parker & Lynch,33.4484,-112.074142,1
1351,Associate Research Scientist I-III,75,104,46,Phoenix,AZ,NA,50-100 million,2.9,201 to 500 employees,Research & Development,Business Services,Company - Private,NA,Caris Life Sciences,33.4484,-112.074142,1
1352,Data Engineer II,75,104,46,Scottsdale,AZ,NA,2-5 billion,4,10000+ employees,Automotive Parts & Accessories Stores,Retail,Company - Private,60,Discount Tire,33.4942,-111.926018,1
1353,Sr Data Analyst,75,104,46,Tempe,AZ,NA,10+ billion,3.1,10000+ employees,Banks & Credit Unions,Finance,Company - Public,156,MUFG,33.4255,-111.940009,1
1354,Business Intelligence & Analytics Manager,75,104,46,Phoenix,AZ,NA,5-10 billion,3.6,10000+ employees,Electrical & Electronic Manufacturing,Manufacturing,Company - Public,21,ON Semiconductor,33.4484,-112.074142,1
1355,Quantum Principal Data Scientist (Industrial-Process sector),75,104,46,Phoenix,AZ,NA,10+ billion,3.7,10000+ employees,IT Services,Information Technology,Company - Public,109,IBM,33.4484,-112.074142,1
1356,Data Engineer,75,104,46,Scottsdale,AZ,NA,50-100 million,3.8,501 to 1000 employees,IT Services,Information Technology,Company - Private,18,IntraEdge,33.4942,-111.926018,1
1357,Data Scientist with python,75,104,46,Phoenix,AZ,NA,100-500 million,3.9,501 to 1000 employees,IT Services,Information Technology,Company - Private,18,Diverse Lynx,33.4484,-112.074142,1
1358,Data Engineer,75,104,46,Phoenix,AZ,NA,,NA,,,,,NA,Terascope,33.4484,-112.074142,1
1359,Data Engineer,75,104,46,Phoenix,AZ,NA,1-5 million,3.9,1 to 50 employees,,,Company - Private,NA,"Daman, Inc.",33.4484,-112.074142,1
1360,Data Analyst,75,104,46,Phoenix,AZ,NA,2-5 billion,3.5,10000+ employees,Staffing & Outsourcing,Business Services,Company - Public,72,Robert Half,33.4484,-112.074142,1
1361,Data Science with Python,75,104,46,Phoenix,AZ,NA,100-500 million,3.9,501 to 1000 employees,IT Services,Information Technology,Company - Private,18,Diverse Lynx,33.4484,-112.074142,1
1362,Data Analyst,75,104,46,Phoenix,AZ,NA,Unknown,2.9,1001 to 5000 employees,Staffing & Outsourcing,Business Services,Company - Private,NA,Gatestone & Co. Inc,33.4484,-112.074142,1
1363,Sr. Data Engineer,75,104,46,Phoenix,AZ,NA,Unknown,4.8,1001 to 5000 employees,IT Services,Information Technology,Company - Public,9,Zoom,33.4484,-112.074142,1
1364,Data Analyst,75,104,46,Tempe,AZ,NA,Unknown,3,201 to 500 employees,Staffing & Outsourcing,Business Services,Company - Private,17,The Accuro Group,33.4255,-111.940009,1
1365,SQL Data Analyst,75,104,46,Mesa,AZ,NA,<1 million,3.2,1 to 50 employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,NA,Edupoint,33.4151,-111.831479,1
1366,Senior Data Analyst,75,104,46,Scottsdale,AZ,NA,2-5 billion,4,10000+ employees,Automotive Parts & Accessories Stores,Retail,Company - Private,60,Discount Tire,33.4942,-111.926018,1
1367,Quantum Principal Data Scientist (Industrial-Discrete sector),75,104,46,Phoenix,AZ,NA,10+ billion,3.7,10000+ employees,IT Services,Information Technology,Company - Public,109,IBM,33.4484,-112.074142,1
1368,Scientist II - Geologist,75,104,46,Phoenix,AZ,NA,1-5 million,NA,1 to 50 employees,,,Company - Private,NA,"Sundance Consulting, Inc.",33.4484,-112.074142,1
1369,Data Analyst,75,104,46,Tempe,AZ,NA,,NA,,,,,NA,Door Sales & Installations,33.4255,-111.940009,1
1370,Staff Machine Learning Engineer - Core Algorithms,75,104,46,Scottsdale,AZ,NA,Unknown,3.9,1001 to 5000 employees,"Department, Clothing, & Shoe Stores",Retail,Company - Private,11,thredUP,33.4942,-111.926018,1
1371,Microsoft Analytics Consultant,75,104,46,Phoenix,AZ,NA,10+ billion,3.7,10000+ employees,IT Services,Information Technology,Company - Public,109,IBM,33.4484,-112.074142,1
1372,Data & Analytics Consultant |,75,104,46,Phoenix,AZ,NA,50-100 million,4.6,201 to 500 employees,Consulting,Business Services,Company - Private,28,Systems Evolution,33.4484,-112.074142,1
1373,"Data Scientist (FULLY REMOTE. REQUIRED: Spark, SQL, Azure Data Bricks)",75,104,46,Scottsdale,AZ,NA,1-2 billion,4,201 to 500 employees,Staffing & Outsourcing,Business Services,Company - Private,20,GTN Technical Staffing,33.4942,-111.926018,1
1374,Finance Data Analyst,75,104,46,Phoenix,AZ,NA,10-25 million,4.9,51 to 200 employees,Staffing & Outsourcing,Business Services,Company - Private,15,"TekCom Resources, Inc.",33.4484,-112.074142,1
1375,Data Engineer,75,104,46,Phoenix,AZ,NA,1-2 billion,4.9,1 to 50 employees,Advertising & Marketing,Business Services,Company - Private,4,Freestar,33.4484,-112.074142,1
1376,Post-Doctoral Magnetic Resonance Research Scientist,75,104,46,Phoenix,AZ,NA,10+ billion,3.9,10000+ employees,Health Care Services & Hospitals,Health Care,Company - Public,173,Siemens Healthineers,33.4484,-112.074142,1
1377,Sr Applied Scientist,75,104,46,Tempe,AZ,NA,10+ billion,3.9,10000+ employees,Internet,Information Technology,Company - Public,26,Amazon,33.4255,-111.940009,1
1378,"Data Scientist (Databricks,Spark,PowerBI)",75,104,46,Scottsdale,AZ,NA,1-2 billion,4,201 to 500 employees,Staffing & Outsourcing,Business Services,Company - Private,20,GTN Technical Staffing,33.4942,-111.926018,1
1379,Data Analyst,63,81,45,Tempe,AZ,NA,1-5 million,4.4,1 to 50 employees,IT Services,Information Technology,Company - Private,NA,Softcom Systems,33.4255,-111.940009,1
1380,Data Analyst,63,81,45,Scottsdale,AZ,NA,0.5-1 billion,2.9,1001 to 5000 employees,Banks & Credit Unions,Finance,Company - Public,35,The Paragon Group,33.4942,-111.926018,1
1381,AI - Natural Language Processing and Machine Learning Engineer,63,81,45,Phoenix,AZ,NA,10+ billion,4,10000+ employees,Computer Hardware & Software,Information Technology,Company - Public,52,Intel Corp.,33.4484,-112.074142,1
1382,Environmental Scientist,63,81,45,Phoenix,AZ,1,1-2 billion,3.7,1001 to 5000 employees,IT Services,Information Technology,Company - Private,23,22nd Century Technologies,33.4484,-112.074142,1
1383,Business Intelligence - Data Analyst,63,81,45,Tempe,AZ,NA,1-2 billion,3.8,51 to 200 employees,Health Care Services & Hospitals,Health Care,Nonprofit Organization,13,Crisis Response Network,33.4255,-111.940009,1
1384,Data Engineer role(SQL/Python/AWS)-Remote,63,81,45,Tempe,AZ,NA,Unknown,4,501 to 1000 employees,IT Services,Information Technology,Company - Private,8,Clairvoyant,33.4255,-111.940009,1
1385,Senior Data Engineer (ASE5) Asset and Liability Technology Wells Fargo Corporate Treasury,63,81,45,Chandler,AZ,NA,10+ billion,3.6,10000+ employees,Banks & Credit Unions,Finance,Company - Public,168,Wells Fargo,33.3062,-111.84125,1
1386,Microsoft Dynamics CRM Data Analyst,63,81,45,Phoenix,AZ,NA,10+ billion,3.7,10000+ employees,IT Services,Information Technology,Company - Public,109,IBM,33.4484,-112.074142,1
1387,Data Engineer,63,81,45,Phoenix,AZ,NA,2-5 billion,2.9,10000+ employees,Food & Beverage Stores,Retail,Company - Public,18,Sprouts Farmers Market,33.4484,-112.074142,1
1388,Analytics Consultant,63,81,45,Phoenix,AZ,NA,25-50 million,3.6,5001 to 10000 employees,Legal,Accounting & Legal,Company - Private,32,Epiq,33.4484,-112.074142,1
1389,Lead Data Engineer (ASE6) -Asset and Liability Technology Wells Fargo Corporate Treasury,63,81,45,Chandler,AZ,NA,10+ billion,3.6,10000+ employees,Banks & Credit Unions,Finance,Company - Public,168,Wells Fargo,33.3062,-111.84125,1
1390,Reporting & Data Analyst,63,81,45,Phoenix,AZ,NA,Unknown,NA,Unknown,,,Company - Private,NA,Sanford Federal,33.4484,-112.074142,1
1391,"Junior Data Analyst-Phoenix, AZ",63,81,45,Phoenix,AZ,NA,<1 million,5,1 to 50 employees,,,Company - Private,NA,Georgia IT Inc.,33.4484,-112.074142,1
1392,Data Engineer,63,81,45,Phoenix,AZ,NA,Unknown,4.7,1 to 50 employees,,,Company - Private,NA,Digital dhara,33.4484,-112.074142,1
1393,Data Science & Machine Learning,63,81,45,Phoenix,AZ,NA,50-100 million,3.8,501 to 1000 employees,IT Services,Information Technology,Company - Private,18,IntraEdge,33.4484,-112.074142,1
1394,3rd Shift Environmental Monitoring Scientist,63,81,45,Phoenix,AZ,NA,2-5 billion,3.4,10000+ employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Company - Private,33,Eurofins Scientific,33.4484,-112.074142,1
1395,Data Analyst/Scientist Intern,63,81,45,Tempe,AZ,NA,Unknown,NA,1 to 50 employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,NA,Minit Charger,33.4255,-111.940009,1
1396,Business Intelligence Analyst,63,81,45,Phoenix,AZ,NA,50-100 million,3.2,1001 to 5000 employees,Banks & Credit Unions,Finance,Company - Public,81,Desert Financial,33.4484,-112.074142,1
1397,"Research Scientist, Biomarker and Drug Intelligence",63,81,45,Phoenix,AZ,NA,50-100 million,2.9,201 to 500 employees,Research & Development,Business Services,Company - Private,NA,Caris Life Sciences,33.4484,-112.074142,1
1398,Operations Research Scientist,63,81,45,Phoenix,AZ,NA,100-500 million,3.1,1001 to 5000 employees,Colleges & Universities,Education,College / University,44,University of Phoenix,33.4484,-112.074142,1
1399,"Analytics Manager, Insurance Operations",63,81,45,Tempe,AZ,1,2-5 billion,3.7,1001 to 5000 employees,Insurance Agencies & Brokerages,Insurance,Company - Private,8,Oscar Health,33.4255,-111.940009,1
1400,Business Intelligence Analyst,63,81,45,Scottsdale,AZ,NA,Unknown,NA,Unknown,,,Company - Private,NA,MELISSAKING (MK),33.4942,-111.926018,1
1401,Sr. Business Intelligence Analyst- Power BI,63,81,45,Phoenix,AZ,NA,1-2 billion,4,201 to 500 employees,IT Services,Information Technology,Company - Private,24,Prosum,33.4484,-112.074142,1
1402,"Managing Consultant - Data Science (Phoenix, Arizona)",63,81,45,Phoenix,AZ,NA,Unknown,4.3,51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,14,BlueOptima,33.4484,-112.074142,1
1403,Data Analyst/Engineer,63,81,45,Tempe,AZ,NA,Unknown,3,201 to 500 employees,Staffing & Outsourcing,Business Services,Company - Private,17,The Accuro Group,33.4255,-111.940009,1
1404,Analytics Consultant,63,81,45,Phoenix,AZ,NA,10+ billion,2.9,10000+ employees,Health Care Services & Hospitals,Health Care,Company - Public,57,CVS Health,33.4484,-112.074142,1
1405,Principal/Senior Data Scientist,63,81,45,Phoenix,AZ,NA,Unknown,3.4,1 to 50 employees,Staffing & Outsourcing,Business Services,Company - Private,22,Tech Finders,33.4484,-112.074142,1
1406,Financial and Data Analyst,63,81,45,Scottsdale,AZ,NA,10-25 million,3.8,51 to 200 employees,Consulting,Business Services,Company - Private,NA,Equity Methods,33.4942,-111.926018,1
1407,Data Analyst,63,81,45,Scottsdale,AZ,NA,<1 million,2.5,1 to 50 employees,,,Company - Private,NA,Career Evolutions,33.4942,-111.926018,1
1408,SRO BI & Analytics Manager,118,144,92,Chandler,AZ,NA,10+ billion,3.9,10000+ employees,Internet,Information Technology,Company - Public,22,PayPal,33.3062,-111.84125,1
1409,3rd Shift Environmental Monitoring Scientist,118,144,92,Phoenix,AZ,NA,,NA,,,,,NA,Eurofins USA PSS Insourcing Solutions,33.4484,-112.074142,1
1410,Automotive Data Analyst,118,144,92,Phoenix,AZ,NA,5-10 billion,3.1,10000+ employees,Automotive Parts & Accessories Stores,Retail,Company - Public,63,O'Reilly Automotive,33.4484,-112.074142,1
1411,Research Scientist I-III,118,144,92,Phoenix,AZ,NA,50-100 million,2.9,201 to 500 employees,Research & Development,Business Services,Company - Private,NA,Caris Life Sciences,33.4484,-112.074142,1
1412,Data Engineer,118,144,92,Tempe,AZ,NA,Unknown,3.2,201 to 500 employees,IT Services,Information Technology,Company - Private,10,Blue Rose Technologies LLC,33.4255,-111.940009,1
1413,Managing Consultant - Data Science,118,144,92,Phoenix,AZ,NA,Unknown,4.3,51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,14,BlueOptima,33.4484,-112.074142,1
1414,Data Scientist (Global Data and Analytics),118,144,92,Tempe,AZ,NA,2-5 billion,2.9,10000+ employees,Gas Stations,Retail,Company - Public,69,"Circle K Stores, Inc.",33.4255,-111.940009,1
1415,Business Intelligence Analyst,118,144,92,Phoenix,AZ,NA,50-100 million,2.5,1001 to 5000 employees,Health Care Services & Hospitals,Health Care,Company - Private,24,TriWest Healthcare Alliance,33.4484,-112.074142,1
1416,Revenue Management and Strategic Analytics Manager,118,144,92,Phoenix,AZ,NA,5-10 billion,3.2,10000+ employees,Pet & Pet Supplies Stores,Retail,Company - Private,34,PetSmart,33.4484,-112.074142,1
1417,Data Engineer,118,144,92,Phoenix,AZ,NA,Unknown,4.6,1 to 50 employees,,,Company - Public,NA,Headfarmer,33.4484,-112.074142,1
1418,Big Data Engineer with Cloudera,118,144,92,Phoenix,AZ,NA,10-25 million,5,201 to 500 employees,IT Services,Information Technology,Company - Private,2,Nucleusteq,33.4484,-112.074142,1
1419,Analytic Consultant 5 Quality Control Lead,118,144,92,Chandler,AZ,NA,10+ billion,3.6,10000+ employees,Banks & Credit Unions,Finance,Company - Public,168,Wells Fargo,33.3062,-111.84125,1
1420,Project Scientist,118,144,92,Tempe,AZ,NA,0.5-1 billion,3.5,1001 to 5000 employees,Architectural & Engineering Services,Business Services,Company - Private,55,Terracon,33.4255,-111.940009,1
1421,GENERAL PHYSICAL SCIENTIST,118,144,92,Phoenix,AZ,NA,2-5 billion,3.8,1001 to 5000 employees,Federal Agencies,Government,Government,245,U.S. Navy,33.4484,-112.074142,1
1422,Accounting Data Analyst,118,144,92,Phoenix,AZ,NA,100-500 million,4.5,1001 to 5000 employees,Staffing & Outsourcing,Business Services,Company - Public,34,Mastech Digital,33.4484,-112.074142,1
1423,Business Intelligence Analyst,118,144,92,Mesa,AZ,NA,100-500 million,4,201 to 500 employees,Health Care Services & Hospitals,Health Care,Company - Private,16,StateServ,33.4151,-111.831479,1
1424,"(Project Staff) Consultant, Data Engineer",118,144,92,Scottsdale,AZ,NA,10+ billion,3.6,10000+ employees,,,Company - Private,95,Nationwide,33.4942,-111.926018,1
