"","id","Job.Title","Job.Description","Est_Salary","Max_Salary","Min_Salary","City","State","Easy.Apply","Revenue_USD","Rating","Size","Industry","Sector","Type.of.ownership","Years_Founded","Company.Name","lat","lon"
"235",1514,"Card Data Analyst","Job Description
Card Data Analyst

HIGHLIGHTS
Location: Tempe, AZ
Position Type: Direct Hire
Hourly / Salary: BOE
Residency Status: US Citizen or Green Card Holder ONLY
ONSITE ONLY

Our client is look for a Card Data Analyst to join their team!

Job Description

The core responsibilities of this position are to conduct the data / reporting analytics for underwriting the bank commercial cards and managing the portfolio efficiently: score card / risk model development to predict commercial card performance; automation enhancement for credit decisioning and execution; proper and timely data reports of portfolio management. Key to this role is the ability to creatively develop dashboard and tools to enhance automation and reporting through leveraging the current banking data and expanding the data sources /analytics, monitor the BCC card portfolio performance timely to mitigate the portfolio credit risk while helping drive card revenue growth.

Qualifications

This individual will apply industry knowledge and subject matter expertise to effectively perform the following:
Provide in-depth credit worthiness assessment on business credit card portfolio through developing score card, risk model and algorithms to predict commercial card performance.
Data analytics and symmetrical review to enhance the automation capability / procedure of our card offer underwriting / portfolio management
Monitor both the business credit card portfolios＊ credit improvement /deterioration to take risk action proactively. Provide meaningful data analytics on card fraud management and timely execution
Work with all business partners (IT, vendors, Data Analytics Team) to build, maintain card dashboard
Expectations
The role is expected to conduct commercial data daily analytics and is expected to operate independently within the oversight of the Card Product Analytics Directors.
Data management, commercial card credit analysis and excellent communication skills are required to be successful in this role.
This individual will also need to develop strong internal relationships and work closely in partnership with IT, Data Analytics, Credit Administration, Card Product, and Payment Operation.
The right individual will have both influence and exposure to the Credit and Payment Leadership Team.
The position requires deep expertise in data analytics of commercial loan portfolio management, particularly over small business credit card portfolios.
Experience in underwriting / managing business credit card portfolio is a plus.
Understanding the venture capital / start up ecosystem is a plus.
BS/BA Degree in Finance, Accounting, Statistics, Math or Economics with 3+ year direct work experience in data analytics on commercial card portfolio.
Demonstrated expertise in commercial credit data management and reporting are required. Master＊ s degree is a plus.
Prefer deep experience on data management in deferent data systems, especially commercial card systems (FD, TSYS, etc.)
Demonstrated proficiency working with computers and Microsoft Office applications (specifically, Outlook, Excel, Visio, Word, and PowerPoint).
""We are GTN 每 The Go To Network""",120,156,84,"Tempe","AZ",NA,"1-2 billion",4,"201 to 500 employees","Staffing & Outsourcing","Business Services","Company - Private",20,"GTN Technical Staffing",33.4255,-111.940009
"236",1515,"Big Data Engineer","Role: Big Data Engineer

Location: Phoenix, AZ

Job Type: Contract

Job Description

Need Big Data, Spark.

Diverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.",120,156,84,"Phoenix","AZ",NA,"100-500 million",3.9,"501 to 1000 employees","IT Services","Information Technology","Company - Private",18,"Diverse Lynx",33.4484,-112.074142
"237",1516,"Job Opening : Data Engineer (Python) @ Chandler, AZ , San Francisco , CA or New Jersey","Role: Data Engineer (Python)

Location: Chandler, AZ , San Francisco , CA or New Jersey

Type : Contract

Job Description:

5+ years' experience on programming knowledge on python and building the ETL data pipelines and data integrations.

Advanced working SQL knowledge and experience working with rotational and data warehouse databases.

Very good knowledge and understand the business requirements and user stories to create design document.

5 years very strong experience in T-SQL, stored procedures query performance tuning.

1+ years e experience in SSIS on SQL server 2104 and 2017 and SQL Server 2017 is must.

Understanding the existing architecture SQL and SSIS based and to build the new architecture using python and building the ETL data pipelines which is independently or self-service data platform to support all the systems and when ever need anything to add /new custom features can be supportable in the new architecture.

Must have to take ownership end to end development and drive the whole project independently.

Must have very strong knowledge on data analyzing and need strong analytic skills.

Must have hard core development experience, developed pipeline using python in previous projects.

Banking domain is big plus and have very good commination skills and attitude",120,156,84,"Chandler","AZ",NA,"50-100 million",4,"201 to 500 employees","IT Services","Information Technology","Company - Private",21,"ESolutions Inc",33.3062,-111.84125
"238",1517,"Data Analyst- San Antonio, Des Moines","RESPONSIBILITIES:

A Kforce client is seeking a Data Analyst for a project in either Chandler AZ, Des Moines IA or San Antonio TX. This resource should be have a strong SQL background able to build complex queries. Needs to be able to not only write effective analytic code, but also able to translate those findings into easy to consume technical docs and reports for non-technical end users.

Start your career off on the right foot with one of 'America's Top 500 Companies', as awarded by Forbes. Our client is known as a place where people feel included, valued, supported and respected. Innovative thinking and industry-leading technology allow their associates to thrive and grow in their careers. And with a priority placed on their culture and company principles, their commitment to diversity, ethics and the communities in which they operate is their driving force.

REQUIREMENTS:
5+ years of complex SQL coding experience
Extensive analytical experience using SAS
Creative in solving problems, especially thinking outside-the-box to come up with solutions
Has the flexibility to follow team procedures, yet also has the courage to suggest improvements
Is an excellent juggler, especially if you can keep cool under pressure while multi-tasking
Really enjoys working closely as part of a team and has the people skills to do that well
Work efficiently against tight deadlines
Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",120,156,84,"Chandler","AZ",NA,"25-50 million",4.1,"10000+ employees","Staffing & Outsourcing","Business Services","Company - Public",54,"Kforce",33.3062,-111.84125
"239",1518,"Technical Business/Data Analyst","Title Technical BusinessData Analyst (Multiple openings) Location Tempe, AZ or Charlotte, NC or Chicago, IL or Whippany, NJ or Monterey ParkSacramento, CA Employment Terms Fulltime with benefits Job Description As a Technical BusinessData Analyst you will work with our product team to create analytical tools that will ultimately be a driver in driving the growth of the company. You will leverage data to drive operational efficiencies, provide key data driven insights, enable new opportunities and innovate on behalf of business customers. You will drive future solutions that will impact how we capture new customers and delight our existing ones and you will have a lot of fun along the way Responsibilities also include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities for our clients. They will also monitor performance and develop quality control plans to identify improvements. Responsibilities Acquire data from primary or secondary data Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality Interpret data, study results using statistical techniques and provide ongoing reports Identify, study, and interpret trends or patterns in complex data sets Documenting all project related artifacts like Business Requirement Document, Business Use case document, System Use case document, Project Plan, Quality Assurance test plan, User testing plan, Demand request document, Change request document, End User training document, Business user training document Organizing daily standup calls with the developers, testers and leads to track status Generate actionable insights through the development of metrics dashboards and deep dive analyses Providing customer insights to Product Management as new initiatives are being identified, prioritized, implemented and deployed Serving as a business metrics guru and insight provider in the organization Acting as a key interface between business and technical divisions Locate and define new process improvement opportunities Requirements Bachelorrsquos degree in Computer Science or a related field and or equivalent experience Up to 8 years of solid BADA experience with excellent business management and technology coordination skills Should have experience of the software development lifecycle Prior working experience as a Data Analyst or Business Data Analyst Technical expertise with data models, database design development and data mining techniques Experience with reporting packages such as Business Objects or equivalent, Relational databases (SQL etc) Familiarity or knowledge of programming such XML, JavaScript and ETL frameworks Nice to Have Knowledge of statistics and experience using statistical packages for analyzing datasets Strong analytic skills with the ability to collect, organize, evaluate, and disseminate significant amounts of information with attention to detail and accuracy About Capgemini Capgemini is a global leader in consulting, digital transformation, technology and engineering services. The Group is at the forefront of innovation to address the entire breadth of clientsrsquo opportunities in the evolving world of cloud, digital and platforms. Building on its strong 50-year+ heritage and deep industry-specific expertise, Capgemini enables organizations to realize their business ambitions through an array of services from strategy to operations. Capgemini is driven by the conviction that the business value of technology comes from and through people. Today, it is a multicultural company of 270,000 team members in almost 50countries. With Altran, the Group reported 2019 combined revenues of euro17billion. What we offer Your career matters to you and is important to us too. Because your goals and needs are constantly evolving, we offer visibility, leeway and support to help you grow and progress in your career. This approach builds notably on our comprehensive competency framework, our personal development, training and career management programs, and our University innovative and business-focused learning curriculums. We promote a culture of diversity. We believe working with talented individuals from different backgrounds and points of view is a strategic advantage and an ongoing opportunity. Diversity enriches our creative solutions and adds value for our clients. With the digital tech sector growing at a rapid pace and women significantly underrepresented in the industry, we are determined to inspire and recruit more women into technology and build diverse teams that reflect the clients we serve. Our Shared values have been at the heart of the group since our formation. They are honesty, boldness, trust, freedom, team spirit, modesty and fun. These values influence the way we meet client needs while respecting the regulatory requirements of each country in which we operate, and the way we promote ethically sound practices within Capgemini and in our partnerships. Capgemini is committed to building a workforce of employees with diverse backgrounds and work experiences. We strongly encourage women, veterans and active military service personnel to apply. Disclaimer Capgemini is an Equal Opportunity Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, national origin, gender identityexpression, age, religion, disability, sexual orientation, genetics, veteran status, marital status or any other characteristic protected by law. This is a general description of the Duties, Responsibilities and Qualifications required for this position. Physical, mental, sensory or environmental demands may be referenced in an attempt to communicate the manner in which this position traditionally is performed. Whenever necessary to provide individuals with disabilities an equal employment opportunity, Capgemini will consider reasonable accommodations that might involve varying job requirements andor changing the way this job is performed, provided that such accommodations do not pose an undue hardship. Click the following link for more information on your rights as an Applicant - httpwww.capgemini.comresourcesequal-employment-opportunity-is-the-law httpwww.capgemini.comresourcesequal-employment-opportunity-is-the-law Applicants for employment in the US must have valid work authorization that does not now andor will not in the future require sponsorship of a visa for employment authorization in the US by Capgemini.",120,156,84,"Tempe","AZ",NA,"",NA,"","","","",NA,"Capgemini America, Inc.",33.4255,-111.940009
"240",1519,"Adobe Analytics Manager","Digital Analytics Solutions Engineer a Adobe Analytics a This individual is responsible for the solution and execution of our digital analytics products. This position is responsible for overseeing analytics?tagging engagements associated with the Adobe Analytics Cloud to ensure application development teams, and their business partners, obtain the information required to deliver all digital tracking solutions.

?

Responsibilities:
Manage the processes for capture, storage, usage and tracking of intranet web activities
Full responsibility for analytics needs across Analytics platforms
Ensure data integrity & documentation of tracking standards
Troubleshoot and debug analytics implementation
Work across both webpage owner and development to support both teams with analytics tracking
Engage with projects to ensure the analytics solutions meets business requirements
Deliver clear and actionable recommendations to improve and optimize the user experience
Generate reports and providing insights and recommendations based on data
Provide guidance to develop tagging framework and provide QA support
Proactively identifies issues and recommends resolutions, working closely with key business leaders to offer alternatives and enhancements
Manage the implementation and tracking of digital marketing initiatives both current and future.
?

Requirements:
Extensive digital analytics experience (4+ years and preference for Adobe / Omniture / SiteCatalyst / DTM / Launch) including configuration and optimization experience, requires deep knowledge of web page delivery,?page construction and performance related designs to optimize content delivery
Experience in designing solutions and writing technical documentation
Stakeholder management skills, including strong communication and presentation experience
Quick learner who can solve problems and is self-motivated
Adobe certification will be considered as an added advantage",120,156,84,"Phoenix","AZ",NA,"Unknown",NA,"51 to 200 employees","","","Company - Private",NA,"LiveMindz",33.4484,-112.074142
"241",1520,"Sr. Data Engineer","Hewlett Packard Enterprise (HPE) advances the way people live and work. We bring together curious minds to create breakthrough technology solutions, helping our customers make their mark on the world.

HPE makes Hybrid IT simple. HPE helps customers to design the right mix of Hybrid IT solutions to serve their unique needs. We bring next generation infrastructure that uses intelligent software to simplify and accelerate the delivery of new apps, services and business insights. Our mission is to empower our customers with new ways to deliver and manage IT on-premises and in the cloud.

Are you looking for a unique, truly innovative role? What if it could be with one of the most impactful IT companies in the world? Then we have the right opportunitywe are looking for a Sr. Data Engineer within HPE Hybrid IT to join us! In this amazing role, you will provide technology consulting to external customers and internal project teams. You will be responsible for providing technical support and/or leadership in the creation and delivery of technology solutions designed to meet customers business needs and, consequently, for understanding customers businesses. As a trusted advisor create and maintain effective customer relationships so as to insure customer satisfaction. Maintain knowledge of leading edge technologies and industry/market domain knowledge. Actively contribute to the companys solutions portfolio by providing information ranging from technical knowledge to methodologies based on experience gained from customer projects. Shape technical direction and technical strategies within the organization and for external customers. Accountable for consistent and significant chargeability levels (or expense relief for internal project teams) and for assisting in meeting or exceeding revenue and customer satisfaction goals. Contribute to the organizations profitability by generating and cultivating new business opportunities and by providing technical support for deal proposal development. If you have a track record of similar engineering success, want to be part of a business that is growingwith great opportunities, and are ready for your next role, then please apply today.

How youll make your mark:

? You will be responsible for verifying and implementing the detailed technical design solution to the problem as identified by the Project/Technical Manager.

? You'll regularly leads in the technical assessment and delivery of specific technical solutions to the customer. Provides a team structure conducive to high performance, and manages the team lifecycle stages.

? You coordinate implementation of new installations, designs, and migrations for technology solutions in one of the following work domains: networks, applications or platforms.

? You provide advanced technical consulting and advice to others on proposal efforts, solution design, system management, tuning and modification of solutions.

? You'll collect and determine data from appropriate sources to assist in determining customer needs and requirements.

About you:

? You have a Bachelors degree in Computer Science or a related area of study and relevant experience.

? You have 8+ years of relevant experience.

? You have sufficient depth and breadth of technical knowledge in Linux and to design and scope multiple deliverables across a number of technologies.

? You have led team in the delivery of multiple deliverables across multiple technologies.

? You have the ability to develop solutions that enhance the availability, performance, maintainability and agility of a particular customer's enterprise.

? You have frequently used product and application knowledge along with internals or architectural knowledge to develop solutions. A recognized expert in one or more technologies within own technical community and also at regional level. Holds a vendor or industry certification in at least one discipline area.

What we can offer you:

Extensive benefits, a competitive salary and participation in the shared values and purpose that make Hewlett Packard Enterprise one of the world∩s most attractive employers! At HPE, our goal is to provide equal opportunities, flexible work-life balance, and constantly evolving career growth.

If you are looking for challenges in an exciting, supportive and international work environment, then we definitely want to hear from you. Continue the conversation by clicking apply now below, or directly via our Careers Portal at www.hpe.com/careers.

Join us and make your mark!

Find out more about us and follow us on:

https://www.facebook.com/HPECareers

https://twitter.com/HPE_Careers

HPE is an Equal Employment Opportunity/ Veterans/Disabled/LGBT and Affirmative Action employer. We are committed to diversity and building a team that represents a variety of backgrounds, perspectives, and skills. We do not discriminate and all decisions we make are made on the basis of qualifications, merit, and business need. Our goal is to be one global diverse team that is representative of our customers, in an inclusive environment where we can continue to innovate and grow together.

1062768",120,156,84,"Phoenix","AZ",NA,"Unknown",3.8,"10000+ employees","Enterprise Software & Network Solutions","Information Technology","Company - Public",5,"Hewlett Packard Enterprise",33.4484,-112.074142
"242",1521,"Federal - Data Engineer - Senior","Organization: Accenture Federal Services

Location: Chantilly, VA

Accenture Federal Services, a wholly owned subsidiary of Accenture LLP, is a U.S. company with offices in Arlington, Virginia. Accenture's federal business has served every cabinet-level department and 30 of the largest federal organizations. Accenture Federal Services transforms bold ideas into breakthrough outcomes for clients at defense, intelligence, public safety, civilian and military health organizations.

We believe that great outcomes are everything. It's what drives us to turn bold ideas into breakthrough solutions. By combining digital technologies with what works across the world's leading businesses, we use agile approaches to help clients solve their toughest problems fast-the first time. So, you can deliver what matters most.

Count on us to help you embrace new ways of working, building for change and put customers at the core. A wholly owned subsidiary of Accenture, we bring over 30 years of experience serving the federal government, including every cabinet-level department. Our 7,200 dedicated colleagues and change makers work with our clients at the heart of the nation's priorities in defense, intel, public safety, health and civilian to help you make a difference for the people you employ, serve and protect.

Job Description:

Work directly with the client gathering requirements to analyze, design and/or implement technology best practice business changes to technology with business strategy and goals.",120,156,84,"Phoenix","AZ",NA,"10-25 million",4.2,"1 to 50 employees","Computer Hardware & Software","Information Technology","Company - Private",18,"Solekai Systems Corp",33.4484,-112.074142
"243",1522,"Post-Doctoral Magnetic Resonance Research Scientist","Nows our time to
inspire the future of healthcare together.

Siemens Healthineers is a leading global medical technology company with
over 170 years of experience and 18,000 patents. More than 48,000
dedicated colleagues in over 70 countries are driven to shape the future of
healthcare. We stand with our customers around the world to support them in
delivering high quality care to their patients. An estimated 5 million
patients across the globe benefit every day from our innovative technologies
and services in the areas of diagnostic and therapeutic imaging, laboratory
diagnostics and molecular medicine, as well as digital health and enterprise
services. This is what truly matters to us.

At Siemens Healthineers, we
are passionate about enabling healthcare professionals to deliver high quality
patient care, and to do so affordably. A leading global healthcare
company, Siemens Healthineers continues to strengthen our portfolio of medical
imaging and laboratory diagnostics, while adding new offerings such as managed
services, consulting, and healthcare IT services as well as further
technologies in the growing market for therapeutic and molecular diagnostics.

Siemens Healthineers develops
innovations that support better patient outcomes with greater efficiencies,
giving providers the confidence they need to meet the clinical, operational and
financial challenges of a changing healthcare landscape.

Join our team now at Siemens
Healthineers as Post Doctoral MR Research Scientist in Tucson, AZ.

This is a role
well suited to an ambitious professional, looking for the next step in their
career. As a Post Doctoral MR Research Scientist, you will be responsible for:

You will drive the development of novel,
clinically relevant techniques (MR pulse sequences and image
reconstruction) with our research partners.
You will develop and release prototypes
of novel techniques in compliance with highest source code quality.
You will evaluate prototypes and publish
results in peer-reviewed journals.
You will conduct original research
resulting in patent applications.
You will develop and manage research
collaborations with academic partners to drive MR research and translate
this knowledge into MR products.
You will take part at the knowledge exchange
with our R&D team to improve and further develop our products and
software solutions
This position may suit you
best if you are familiar with what is below, and would like to do develop
your career with Healthineers
C++ programming
Programming in IDEA pulse sequence
development environment
Programming in ICE image reconstruction
development environment


Required skills to have for the success of this role

Ph.D. in Biomedical
or Electrical Engineering / Biomedical Physics / Imaging Physics, or
equivalent.
Strong collaboration
skills and ability to thrive in a dynamic environment.
Strong background in
MR physics and pulse sequence design.
Expertise in MR
imaging techniques and clinical applications.
Excellent communication and interpersonal
skills, ability to engage in complex team environments
Substantial
experience in C++/C software design, implementation and coding.
Outstanding writing,
presentation, and communication skills.
At Siemens Healthineers, we
value those who dedicate their energy and passion to a greater cause. Our
people make us unique as an employer in the med-tech industry. What unites and
motivates our global team is the inspiration of our common purpose: To innovate for healthcare, building on our
remarkable legacy of pioneering ideas that translate into even better
healthcare products and services. We recognize that taking ownership of our
work allows both us and the company to grow. We offer you a flexible and
dynamic environment and the space to move beyond your comfort zone to grow both
personally and professionally.

If you want to join us in
transforming the way healthcare is delivered, visit our career site at https://usa.healthcare.siemens.com/careers.

If you wish to find out more
about the specific before applying, please visit: https://usa.healthcare.siemens.com/about.

As an equal-opportunity
employer we are happy to consider applications from individuals with
disabilities.

#LI-BI1

Organization: Siemens Healthineers

Company: Siemens Medical Solutions USA, Inc.

Experience Level: Experienced Professional

Job Type: Full-time

Equal Employment Opportunity Statement
Siemens is an Equal Opportunity and Affirmative Action Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to their race, color, creed, religion, national origin, citizenship status, ancestry, sex, age, physical or mental disability unrelated to ability, marital status, family responsibilities, pregnancy, genetic information, sexual orientation, gender expression, gender identity, transgender, sex stereotyping, order of protection status, protected veteran or military status, or an unfavorable discharge from military service, and other categories protected by federal, state or local law.

EEO is the Law
Applicants and employees are protected under Federal law from discrimination. To learn more, Click here.

Pay Transparency Non-Discrimination Provision
Siemens follows Executive Order 11246, including the Pay Transparency Nondiscrimination Provision. To learn more, Click here.

California Privacy Notice
California residents have the right to receive additional notices about their personal information. To learn more, click here.",120,156,84,"Phoenix","AZ",NA,"10+ billion",4,"10000+ employees","Electrical & Electronic Manufacturing","Manufacturing","Company - Public",177,"Siemens",33.4484,-112.074142
"244",1523,"Senior Java Visualization Data Engineer","RESPONSIBILITIES Kforce has a client, a growing and established company in the Phoenix, AZ area is seeking a Sr. Java Visualization Software Engineer. We are working directly with the Hiring Manager. Responsibilities Collaborate with Data Science and Business Intelligence teams to identify, design, develop, and implement data applications Prepare and maintain data flows specific to our reporting, analysis and machine learning projects such as vehicle arrival intelligence, network balance recommendations, service failure mitigation, and driver hours optimization Extensive elastic search development Provide troubleshooting, coding, and data pipeline expertise to Data Science and Business Intelligence teams Identify and implement outside data sources and new technologies to enhance analysis and reporting impact on business problems Collaborate with Data Warehouse ETL team to transition data sets into productioncore environment and implement new data technologies for analysis and reporting use Maintain a positive work atmosphere by acting and communicating in a manner which facilitates the success of business operations in order to meet company demands and expectations and perform other duties as assigned by leadership REQUIREMENTS BS in computer science, computer engineering or related field or equivalent combination of education and experience required 3-5+years related hands on experience required Previous experience with Java and SQL required Proven problem solver, creative thinker capabilities required Experience with Alteryx, Elastic Search, HiveImpala, Scala, Spark, Python, HTML, Groovy preferred Must possess excellent interpersonal skills Must be able to collaborate with others on team and across the organization Must be able to present recommendations andor findings to others including senior leadership Kforce is an Equal OpportunityAffirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",120,156,84,"Phoenix","AZ",NA,"",NA,"","","","",NA,"Kforce Technology Staffing",33.4484,-112.074142
"245",1524,"Senior Data Analyst","Job Description
Job Summary:

As a Senior Data Analyst, you'll be responsible for providing insight across the entire organization; your contribution will enable fast and accurate business decisions and be central in encouraging a data-driven culture.

This role will regularly consult with various departments including content acquisition, marketing and leadership. You will identify business problems, assess/define what information is needed to guide effective decisions, plan report structure and appropriate inputs, extract/mine data and build out 'self-serve' reports to visualize performance in Domo.

General data management (routine review of data sources and datasets) and communicating complex concepts to end users in an easy-to-understand way will also be an important part of each day.

The Data Analyst customarily and regularly exercises discretion and independent judgment by developing the most appropriate methods for processing all available information necessary to develop strategic business initiatives and strategies. The Analyst will be responsible for driving processes from data collection and analysis to presentation of recommendations to senior management.

Job Functions:
This individual customarily and regularly exercises discretion and independent judgment as it relates to market analysis and data interpretation by using this information to compare and evaluate various strategies, recommending to management officials the best and most efficient means for carrying out these strategies and initiatives
Providing advice to and consulting with management officials as these initiatives and strategies are being implemented.
Apply special training, experience, or knowledge of data analytics and digital strategy independently.
Interpret raw data and identify any patterns in it
Practice impact/program evaluation of company initiatives
Propose process improvements to enhance business efficiency based on data insights
Obtain business data for critical decision-making purposes
Create relevant dashboards for day-to-day reporting
Build data visualizations that tell unbiased and insightful stories
Query data for internal reporting needs
Analyze macro and microeconomic trends that are relevant to the industry and synthesize findings with existing reports and data models
Utilize appropriate pre-built models and develop custom models to make predictions and derive insights from primary and secondary data sources
Develop and deliver internal and external business presentations
Maintain budget tracking and reporting
Required Qualifications:

1. Undergraduate degree in Computer Science, Information Systems, or equivalent experience/training

2. 5-7 years experience in performance-based digital marketing, strong understanding of digital media landscape

3. Experience with analytics and/or development projects

4. Proactive nature. Humility/willingness to learn

5. Excellent communication skills/ability
Ability to train other team members
Proficiency in relational databases like SQL or MySQL

8. Ability to learn quickly and translate learning into executable ideas
Ability to design tests that support theories; includes defining expected outcome

10. Ability to work autonomously or as part of a team

11. Experience with Google Analytics

12. Excellent organizational skills and attention to detail
Proficient in data visualization tools 〞Domo, Tableau, Data Studio

14. Experience with AWS, Python, and JavaScript

15. Experience with pixel implementation
Company Description
Our Mission: Influence the Global Culture for Christ through Media.",120,156,84,"Scottsdale","AZ",NA,"",NA,"","","","",NA,"Pure Flix Digital",33.4942,-111.926018
"246",1525,"Senior Data Analyst","Senior Data Analyst
Large Healthcare firm with a national presence seeks a Senior Data Analyst to join their team.

Job description:

Responsible for analytic data needs of the business unit. Handle complex data projects and acts as a lead for other Data Analysts.
Provide advanced analytical support for business operations in all or some of the following areas: claims, provider data, member data, clinical data, HEDIS, pharmacy, external reporting
Extract, load, model, and reconcile large amounts of data across multiple system platforms and sources
Review data to determine operational impacts and needed actions; elevate issues, trends, areas for improvement and opportunities to management.
Develop reports and deliverables and make recommendations to management
Model data using MS Excel, Access, SQL, and/or other data warehouse analytical tools
Assist management in driving business decisions based on data
Ensure compliance with federal and state deliverable reporting requirements by performing data quality audits and analysis.
Assist with training and mentoring other Data Analysts.
Assist with determining workload and related activities for other Data Analysts
Qualifications:
Education/Experience:

Bachelors degree in related field or equivalent experience.
6+ years of statistical analysis or data analysis experience.
Healthcare experience preferred.
Advanced knowledge of Enterprise Reporting and Analysis tools, SQL, and Microsoft Office applications, including Excel and Access.
Experience managing projects or heavy involvement in project implementation.
About Green Lion Search Group:

Green Lion Search Group, LLC is a boutique professional search firm providing strategic recruitment services for numerous companies throughout the United States.",120,156,84,"Tempe","AZ",NA,"",NA,"","","","",NA,"Green Lion Search Group",33.4255,-111.940009
"247",1526,"Senior Java Visualization Data Engineer","RESPONSIBILITIES:

Kforce has a client, a growing and established company in the Phoenix, AZ area is seeking a Sr. Java Visualization Software Engineer. We are working directly with the Hiring Manager.

Responsibilities:
Collaborate with Data Science and Business Intelligence teams to identify, design, develop, and implement data applications
Prepare and maintain data flows specific to our reporting, analysis and machine learning projects such as vehicle arrival intelligence, network balance recommendations, service failure mitigation, and driver hours optimization
Extensive elastic search development
Provide troubleshooting, coding, and data pipeline expertise to Data Science and Business Intelligence teams
Identify and implement outside data sources and new technologies to enhance analysis and reporting impact on business problems
Collaborate with Data Warehouse/ ETL team to transition data sets into production/core environment and implement new data technologies for analysis and reporting use
Maintain a positive work atmosphere by acting and communicating in a manner which facilitates the success of business operations in order to meet company demands and expectations and perform other duties as assigned by leadership
REQUIREMENTS:
BS in computer science, computer engineering or related field or equivalent combination of education and experience required
3-5+years related hands on experience required
Previous experience with Java and SQL required
Proven problem solver, creative thinker capabilities required
Experience with Alteryx, Elastic Search, Hive/Impala, Scala, Spark, Python, HTML, Groovy preferred
Must possess excellent interpersonal skills
Must be able to collaborate with others on team and across the organization
Must be able to present recommendations and/or findings to others including senior leadership
Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",120,156,84,"Phoenix","AZ",NA,"25-50 million",4.1,"10000+ employees","Staffing & Outsourcing","Business Services","Company - Public",54,"Kforce",33.4484,-112.074142
"248",1527,"Big Data Engineer","2 to 3 years' experience designing and developing in Python, Scala, Spark, HDFS.
1 to 2 years' experience with Unix shell scripting
3 to 5 years' experience with SQL
Experience with version control tools and processes.
Good to have understanding of regulatory requirement, Basel-III, CCAR, CECL etc",120,156,84,"Phoenix","AZ",NA,"<1 million",4,"1 to 50 employees","Accounting","Accounting & Legal","Company - Private",NA,"Lorven Technologies Inc",33.4484,-112.074142
